date,daily-atr,close,spike,doji,spike-doji,doji-v,spike-v,spike-doji-v,long,short
2024-09-04T10:04:00Z,,1.10517,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T10:05:00Z,,1.10517,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T10:06:00Z,,1.10515,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:07:00Z,,1.10519,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T10:08:00Z,,1.10515,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:09:00Z,,1.1052,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T10:10:00Z,,1.10514,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:11:00Z,,1.10521,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T10:12:00Z,,1.10526,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T10:13:00Z,,1.10525,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:14:00Z,,1.10528,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T10:15:00Z,,1.10528,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T10:16:00Z,,1.10528,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T10:17:00Z,,1.10529,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T10:18:00Z,,1.10525,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:19:00Z,,1.10535,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T10:20:00Z,,1.10523,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:21:00Z,,1.10526,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T10:22:00Z,,1.10533,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T10:23:00Z,,1.10532,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T10:24:00Z,,1.10534,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T10:25:00Z,,1.10536,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T10:26:00Z,,1.10528,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:27:00Z,,1.10533,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T10:28:00Z,,1.10536,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T10:29:00Z,,1.10528,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:30:00Z,,1.10531,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T10:31:00Z,,1.10525,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:32:00Z,,1.10537,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T10:33:00Z,,1.10534,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:34:00Z,,1.10547,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T10:35:00Z,,1.10543,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:36:00Z,,1.10547,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T10:37:00Z,,1.10548,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T10:38:00Z,,1.10551,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T10:39:00Z,,1.10552,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T10:40:00Z,,1.10545,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:41:00Z,,1.10539,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:42:00Z,,1.10527,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:43:00Z,,1.10525,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:44:00Z,,1.10527,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T10:45:00Z,,1.10516,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:46:00Z,,1.10513,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:47:00Z,,1.10514,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T10:48:00Z,,1.10521,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T10:49:00Z,,1.10524,flat,flat,flat,0.0,0.0,0.0,,
2024-09-04T10:50:00Z,,1.10522,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:51:00Z,,1.10513,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:52:00Z,,1.10511,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:53:00Z,,1.1051,flat,short,flat,-1.0,0.0,0.0,,
2024-09-04T10:54:00Z,,1.10512,flat,long,flat,1.0,0.0,0.0,,
2024-09-04T10:55:00Z,,1.10501,flat,short,flat,-1.0,0.0,0.0,p1-low,
2024-09-04T10:56:00Z,,1.10507,flat,flat,flat,0.0,0.0,0.0,p1-low,
